Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Test2,Failure,2,2,2022-02-23 11:15:13 -0700,2022-02-23 11:15:26 -0700,0:00:00
Test,Failure,33,16,2022-02-22 16:46:07 -0700,2022-03-02 16:59:48 -0700,0:00:01
advent3b,Success,14,0,2021-12-14 16:19:52 -0700,2021-12-14 16:36:48 -0700,0:00:05
advent4,Success,30,13,2021-12-15 09:24:19 -0700,2021-12-15 15:45:52 -0700,0:01:32
advent1,Success,25,7,2021-12-14 10:03:03 -0700,2022-05-04 16:24:14 -0600,0:00:00
advent5,Success,22,2,2021-12-15 16:24:12 -0700,2022-03-02 16:19:34 -0700,0:00:31
shellScript,Success,22,0,2022-06-03 09:59:32 -0600,2022-06-13 17:14:22 -0600,0:00:00
advent3,Success,8,1,2021-12-14 14:37:17 -0700,2021-12-14 15:16:26 -0700,0:00:05
advent2,Success,9,0,2021-12-14 12:00:58 -0700,2021-12-14 12:20:17 -0700,0:00:00
utility,Success,1,0,2022-03-02 16:59:45 -0700,2022-03-02 16:59:45 -0700,0:00:00
